NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Toledo;PR;Soja;53;2794,2;1676,4;0,60;66046,14;2796,05;0,0423;1398,03;2010;4127700;5364,26; GRANIZO
Toledo;PR;Soja;35;2859,6;1858,8;0,65;49429,68;2302,59;0,0466;1151,3;2010;4127700;3289,35; GRANIZO
Ipê;RS;Maçã;4;30000;30000;1,00;60000;3610,16;0,0602;2166,1;2010;4310439;32262,00; GRANIZO
Ipê;RS;Maçã;5;30000;30000;1,00;82500;4963,97;0,0602;2978,38;2010;4310439;16982,25; GRANIZO
Bento Gonçalves;RS;Uva;2;16078,67;16078,67;1,00;36001,08;1316,44;0,0366;789,86;2010;4302105;9847,81; GRANIZO
Candido Mota;SP;Milho 2ª safra;19;3300;1485;0,45;10541,52;1844,77;0,1750;1291,34;2011;3510005;4578,64; GEADA
Nova Roma do Sul;RS;Uva;6;30000;30000;1,00;198000;4399,17;0,0222;2639,5;2010;4313359;2239,65; GRANIZO
Fagundes Varela;RS;Uva;2;24600;24600;1,00;36121,2;1320,81;0,0366;792,49;2010;4307864;694,56; GRANIZO
Bento Gonçalves;RS;Uva;6;25421,05;25421,05;1,00;100000;3969,95;0,0397;2381,97;2010;4302105;406,03; GRANIZO
Santa Tereza;RS;Uva;6;15500;15500;1,00;49350;1959,18;0,0397;1175,51;2010;4317251;1567,50; GRANIZO
Venda Nova do Imigrante;ES;Tomate;4;77000;77000;1,00;168245;4885,84;0,0290;1954,34;2010;3205069;16080,33; GRANIZO
São Marcos;RS;Uva;2;25000;25000;1,00;25000;992,49;0,0397;595,49;2010;4319000;7457,50; GRANIZO
Garibaldi;RS;Uva;8;15000;15000;1,00;60000;2381,98;0,0397;1429,19;2010;4308607;5,55; GRANIZO
Lagoa Vermelha;RS;Uva;10;12800;12800;1,00;240000;5363,96;0,0223;3218,38;2010;4311304;1252,80; GRANIZO
Bento Gonçalves;RS;Uva;3;23333,33;23333,33;1,00;42006;1536,01;0,0366;921,61;2010;4302105;2184,29; GRANIZO
Itaí;SP;Algodão;176;5000;5000;1,00;792000;29260,93;0,0369;14630,47;2010;3521804;49291,20; GRANIZO
Veranópolis;RS;Uva;1;20000;20000;1,00;18720;684,52;0,0366;410,71;2010;4322806;9136,92; GRANIZO
Bento Gonçalves;RS;Uva;2;22075;22075;1,00;54708;2000,46;0,0366;1200,28;2010;4302105;255,44; GRANIZO
Pilar do Sul;SP;Caqui;11;30000;30000;1,00;410730;46371,42;0,1129;27822,85;2010;3537909;279871,19; GRANIZO
Urubici;SC;Maçã;13;47500;47500;1,00;327300;23941,76;0,0731;14365,06;2010;4218905;102300,81; GRANIZO
Bastos;SP;Melancia;33;32185;32185;1,00;195118,34;9599,82;0,0492;3839,93;2010;3505807;110807,70; GRANIZO
Marechal Cândido Rondon;PR;Soja;76;2265,6;1019,4;0,45;58014,26;1520,28;0,0262;760,14;2010;4114609;2766,18; GRANIZO
São Marcos;RS;Uva;1;20000;20000;1,00;20838;848,8;0,0407;509,28;2010;4319000;6247,41; GRANIZO
